name,type,stem_price,stems_per_bunch,sources
Smilax (Half Box w/ Shipping),greenery,160,1,East Texas Smilax
Snapdragon,flower,1.75,10,Watanabe
Solidago,flower,0.88,10,Mayesh
Song of India,greenery,1.8,1,Mayesh|Watanabe
Spirea,flower,3.7,5,Watanabe
Spray Rose,flower,1.65,10,Watanabe
Steel Grass,greenery,6.9,1,Watanabe|Mayesh
Stock,flower,1.55,10,Watanabe
Sweet Pea,flower,3.05,10,Mayesh
Sword Fern,greenery,0.725,10,Watanabe
Ti Leaf,greenery,0.65,10,Watanabe|Mayesh
Torch Ginger,flower,5,1,Watanabe
Tree Fern,greenery,0.88,10,Watanabe
Tulip,flower,1.15,10,Watanabe
Umbrella Fern,greenery,2.5,5,Watanabe
Veronica,flower,1.6,10,Watanabe
Viburnum Berries,flower,2.175,10,Mayesh
Yarrow Cottage,flower,1.67,10,Mayesh
Zinnia,flower,1.45,10,Mayesh
